"CIA","DATA","weighted_income","tratamento"
"GOL",2015-01-01,311.427957053293,0
"GOL",2015-02-01,288.771899025224,0
"GOL",2015-03-01,254.13905932621,0
"GOL",2015-04-01,237.313794250904,0
"GOL",2015-05-01,267.003176373093,0
"GOL",2015-06-01,300.420193781633,0
"GOL",2015-07-01,314.782665445385,0
"GOL",2015-08-01,341.421494648099,0
"GOL",2015-09-01,350.721930106712,0
"GOL",2015-10-01,353.294877692515,0
"GOL",2015-11-01,348.571299610862,0
"GOL",2015-12-01,342.974255128718,0
"GOL",2016-01-01,320.785702498503,0
"GOL",2016-02-01,332.382511582162,0
"GOL",2016-03-01,297.944450737391,0
"GOL",2016-04-01,278.852007206324,0
"GOL",2016-05-01,269.841836167959,0
"GOL",2016-06-01,285.196792788313,0
"GOL",2016-07-01,294.789133969305,0
"GOL",2016-08-01,309.694321351923,0
"GOL",2016-09-01,360.494939325972,0
"GOL",2016-10-01,392.16363060632,0
"GOL",2016-11-01,396.888828648483,0
"GOL",2016-12-01,335.001290288406,0
"GOL",2017-01-01,323.646581116974,0
"GOL",2017-02-01,326.210494476871,0
"GOL",2017-03-01,304.069197907989,0
"GOL",2017-04-01,312.043762553556,0
"GOL",2017-05-01,305.682401152055,0
"GOL",2017-06-01,315.314435649124,0
"GOL",2017-07-01,331.929221936063,1
"GOL",2017-08-01,351.801761164755,1
"GOL",2017-09-01,357.664477112935,1
"GOL",2017-10-01,360.522987588646,1
"GOL",2017-11-01,364.729316925294,1
"GOL",2017-12-01,401.170275052276,1
"GOL",2018-01-01,351.566907883331,1
"GOL",2018-02-01,330.235412451163,1
"GOL",2018-03-01,324.064377073745,1
"GOL",2018-04-01,284.949687743088,1
"GOL",2018-05-01,298.577385146819,1
"GOL",2018-06-01,263.703892575957,1
"GOL",2018-07-01,312.687898675752,1
"GOL",2018-08-01,356.296612289921,1
"GOL",2018-09-01,332.584720506753,1
"GOL",2018-10-01,372.729796113312,1
"GOL",2018-11-01,347.18952072381,1
"GOL",2018-12-01,383.798550862727,1
"LAT",2014-01-01,406.732387244973,0
"LAT",2014-02-01,440.304679595163,0
"LAT",2014-03-01,418.765268132156,0
"LAT",2014-04-01,363.000451617995,0
"LAT",2014-05-01,376.678404272156,0
"LAT",2014-06-01,340.629625627003,0
"LAT",2014-07-01,370.619023959327,0
"LAT",2014-08-01,428.40915804937,0
"LAT",2014-09-01,370.40106110589,0
"LAT",2014-10-01,409.719378920082,0
"LAT",2014-11-01,408.109144692131,0
"LAT",2014-12-01,402.583386363978,0
"LAT",2015-01-01,350.201912142873,0
"LAT",2015-02-01,330.638391770918,0
"LAT",2015-03-01,305.627940208128,0
"LAT",2015-04-01,294.857243158147,0
"LAT",2015-05-01,332.659750923747,0
"LAT",2015-06-01,364.884037182399,0
"LAT",2015-07-01,399.906943873832,0
"LAT",2015-08-01,396.08224320515,0
"LAT",2015-09-01,415.57675741615,0
"LAT",2015-10-01,415.235500785662,0
"LAT",2015-11-01,366.484188762876,0
"LAT",2015-12-01,380.259730886118,0
"LAT",2016-01-01,310.457016347563,0
"LAT",2016-02-01,310.213974251599,0
"LAT",2016-03-01,315.611426916517,0
"LAT",2016-04-01,294.541459133803,0
"LAT",2016-05-01,293.48299188944,0
"LAT",2016-06-01,318.027145999321,0
"LAT",2016-07-01,347.781941143362,0
"LAT",2016-08-01,332.049567663982,0
"LAT",2016-09-01,373.643726562869,0
"LAT",2016-10-01,387.604812430557,0
"LAT",2016-11-01,373.87271987538,0
"LAT",2016-12-01,368.917695476684,0
"LAT",2017-01-01,311.904027009503,0
"LAT",2017-02-01,269.097768563511,0
"LAT",2017-03-01,264.86781335197,0
"LAT",2017-04-01,276.338546696764,0
"LAT",2017-05-01,274.498966408466,0
"LAT",2017-06-01,278.722618885528,0
"LAT",2017-07-01,309.560545452654,1
"LAT",2017-08-01,330.449833331494,1
"LAT",2017-09-01,335.343245926867,1
"LAT",2017-10-01,346.214355892441,1
"LAT",2017-11-01,334.630609194002,1
"LAT",2017-12-01,381.451680679742,1
"LAT",2018-01-01,295.67732630698,1
"LAT",2018-02-01,298.607942209936,1
"LAT",2018-03-01,292.067460961488,1
"LAT",2018-04-01,267.64378735099,1
"LAT",2018-05-01,277.940318413732,1
"LAT",2018-06-01,251.713068740938,1
"LAT",2018-07-01,286.316561687831,1
"LAT",2018-08-01,298.874464861311,1
"LAT",2018-09-01,310.613507671723,1
"LAT",2018-10-01,352.8363125626,1
"LAT",2018-11-01,348.062090096282,1
"LAT",2018-12-01,383.587225812356,1
